,Compound,Negative,Neutral,Positive,Text,Time Sent,Tweet Count,User
0,0.0,1.0,0.0,0.0,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
👉 https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",Tue Mar 27 11:05:06 +0000 2018,500,BBC
1,0.25,0.875,0.0,0.125,"🎭 @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
👉… https://t.co/pTLXfve0ds",Tue Mar 27 11:00:06 +0000 2018,500,BBC
2,0.0,1.0,0.0,0.0,"🚀🌎 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

🚨 SPOILER: it's not.  https://t.co/f5oNRItwyq",Tue Mar 27 09:52:08 +0000 2018,500,BBC
3,0.0,1.0,0.0,0.0,"RT @BBCTwo: Now we've got our country back... what actually is it? 🤔

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…",Tue Mar 27 09:40:22 +0000 2018,500,BBC
4,0.4019,0.876,0.0,0.124,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi,Tue Mar 27 09:39:23 +0000 2018,500,BBC
5,0.0,1.0,0.0,0.0,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge 😍

Watch him perform 'Paradise' and cover 'These Days' right here 👉https://t.c…",Tue Mar 27 09:38:59 +0000 2018,500,BBC
6,0.5994,0.843,0.0,0.157,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. 🕺🏻 

Show us yours with #sup…",Tue Mar 27 09:36:48 +0000 2018,500,BBC
7,0.0,1.0,0.0,0.0,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v",Tue Mar 27 08:00:04 +0000 2018,500,BBC
8,0.0,1.0,0.0,0.0,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn",Tue Mar 27 07:30:04 +0000 2018,500,BBC
9,-0.4588,0.827,0.124,0.049,"The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC",Tue Mar 27 07:00:08 +0000 2018,500,BBC
10,-0.6249,0.806,0.194,0.0,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9",Mon Mar 26 19:03:02 +0000 2018,500,BBC
11,0.7783,0.688,0.0,0.312,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq",Mon Mar 26 18:24:04 +0000 2018,500,BBC
12,0.0,1.0,0.0,0.0,🐶😂 It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg,Mon Mar 26 17:30:04 +0000 2018,500,BBC
13,0.5859,0.787,0.0,0.213,"✈️ Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf",Mon Mar 26 16:25:02 +0000 2018,500,BBC
14,-0.3818,0.744,0.161,0.095,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. 🍿

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA",Mon Mar 26 15:45:04 +0000 2018,500,BBC
15,0.0,1.0,0.0,0.0,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF",Mon Mar 26 15:11:57 +0000 2018,500,BBC
16,0.0,1.0,0.0,0.0,"Never let a squirrel nibble your nobble... 🎈🐿😱
https://t.co/cHm9m6At3m",Mon Mar 26 12:58:02 +0000 2018,500,BBC
17,0.4404,0.828,0.0,0.172,Apple wants to introduce new emojis to better represent people with disabilities. ❤️️ https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm,Mon Mar 26 11:48:03 +0000 2018,500,BBC
